seed,n_splits,rare_classes,cv_acc_nonrare,cv_logloss_nonrare,best_iter_mean
1,5,0,0.8054594386774317,0.6200772758118851,948.0
42,5,0,0.7985390234525183,0.6266382385929812,1047.0
1337,5,0,0.7920030757401,0.6360444820871204,953.6
2026,5,0,0.7931564782775855,0.6456240254167026,950.4
777,5,0,0.8016147635524798,0.6293409252623763,1000.4
