fold,logloss,acc,best_iteration_mean,best_iteration_min,best_iteration_max
1,0.5755794421365311,0.8253358925143954,487.0,445,508
2,0.6196984682975017,0.8173076923076923,466.6,423,532
3,0.5774602386353931,0.8115384615384615,497.0,461,530
4,0.5875023407769712,0.8057692307692308,504.8,460,580
5,0.5824118976046807,0.8153846153846154,606.8,563,658
