iter	MultiClass
0	2.129698826
1	2.078062675
2	2.031286608
3	1.986999658
4	1.947158473
5	1.916724331
6	1.871394626
7	1.829738368
8	1.79946847
9	1.76940047
10	1.750804559
11	1.724650594
12	1.695942561
13	1.67137451
14	1.64948502
15	1.625616685
16	1.604163649
17	1.583486568
18	1.566049295
19	1.549601509
20	1.530059513
21	1.510324882
22	1.494442658
23	1.478716429
24	1.464764112
25	1.448199941
26	1.434758827
27	1.422889058
28	1.408605484
29	1.396670036
30	1.383550256
31	1.370758199
32	1.359749566
33	1.346763513
34	1.337116574
35	1.328375694
36	1.319356407
37	1.308905779
38	1.300583811
39	1.292370774
40	1.284784569
41	1.275703837
42	1.265981075
43	1.255906293
44	1.248641096
45	1.241106036
46	1.233189226
47	1.227117313
48	1.220474774
49	1.214310727
50	1.207399526
51	1.200795905
52	1.193542415
53	1.187289058
54	1.181674932
55	1.175309858
56	1.169767809
57	1.16290468
58	1.155568099
59	1.149292989
60	1.143912048
61	1.137879613
62	1.132107635
63	1.126190356
64	1.121295211
65	1.116839015
66	1.112186765
67	1.106533946
68	1.101599102
69	1.097398254
70	1.091704389
71	1.086765731
72	1.082618613
73	1.07977658
74	1.074471487
75	1.070544791
76	1.065979225
77	1.062975936
78	1.059489708
79	1.056167221
80	1.05219155
81	1.049244115
82	1.046173402
83	1.043345154
84	1.04005126
85	1.035777207
86	1.032343004
87	1.028958778
88	1.02556263
89	1.023034554
90	1.019910694
91	1.0160247
92	1.012753777
93	1.009207883
94	1.006962778
95	1.003089629
96	1.000418579
97	0.9975039127
98	0.9943969873
99	0.9926108865
100	0.9890071026
101	0.9863150661
102	0.9829888693
103	0.9800156406
104	0.9761564984
105	0.9741570247
106	0.9717031028
107	0.969701283
108	0.9683696365
109	0.9661581171
110	0.963146189
111	0.960574456
112	0.9580096205
113	0.9552161591
114	0.9514983295
115	0.9493004881
116	0.9450420388
117	0.9430090525
118	0.9398599571
119	0.9378139847
120	0.9351521455
121	0.9326873515
122	0.9297377407
123	0.9274899112
124	0.92514702
125	0.9232369848
126	0.9212577208
127	0.919067225
128	0.9163575697
129	0.9142229137
130	0.912085191
131	0.9107277542
132	0.9089420102
133	0.9072206745
134	0.9054978336
135	0.9028002097
136	0.9008939384
137	0.8991674761
138	0.8974148612
139	0.8955626799
140	0.893767638
141	0.8915299723
142	0.8900490706
143	0.8882092781
144	0.8865766236
145	0.8835902067
146	0.8816329667
147	0.8794551561
148	0.8777458379
149	0.8764180547
150	0.8746783102
151	0.8718206044
152	0.8692173911
153	0.8675360774
154	0.8662334425
155	0.8640236087
156	0.8623405412
157	0.8609845801
158	0.8596991251
159	0.8578555942
160	0.8561202821
161	0.8547813852
162	0.8516839771
163	0.8497658714
164	0.8483589104
165	0.8463602962
166	0.8455316724
167	0.8442181544
168	0.8416612293
169	0.8397128822
170	0.8381768498
171	0.8366172864
172	0.8346695485
173	0.8333770194
174	0.8317892823
175	0.8305233228
176	0.8296635086
177	0.8284239274
178	0.8272883916
179	0.8261105327
180	0.8253253027
181	0.8233099242
182	0.8217470664
183	0.8204031263
184	0.8192099551
185	0.8184036167
186	0.8163753983
187	0.8150378806
188	0.8141704115
189	0.8134155544
190	0.8123457331
191	0.8100059663
192	0.8091503156
193	0.8068823269
194	0.8056312316
195	0.8044590136
196	0.8028139533
197	0.801262693
198	0.8004552701
199	0.7995418673
200	0.7984907575
201	0.796978503
202	0.7951289601
203	0.7937074677
204	0.7928640537
205	0.7920210789
206	0.79072017
207	0.7895811156
208	0.7881138069
209	0.7874247727
210	0.7859697498
211	0.7845370789
212	0.7836250789
213	0.7825277089
214	0.781772533
215	0.7806775742
216	0.7789908811
217	0.7772328256
218	0.7763323811
219	0.7745516706
220	0.773734311
221	0.7724849367
222	0.7714898085
223	0.7700327377
224	0.7691992136
225	0.7683228513
226	0.7680246379
227	0.7670034208
228	0.7663198972
229	0.7644824159
230	0.7637131321
231	0.7627115216
232	0.761310061
233	0.7600739654
234	0.7593256207
235	0.7577471422
236	0.7570558919
237	0.7559029241
238	0.7548428566
239	0.7538401385
240	0.7529093451
241	0.7518512877
242	0.7505957795
243	0.7501622569
244	0.7491634303
245	0.7481394005
246	0.7470868948
247	0.7464225285
248	0.7457711624
249	0.7450859398
250	0.7444616451
251	0.7425040965
252	0.7415788459
253	0.7407075068
254	0.7393837566
255	0.7384375358
256	0.7375932644
257	0.7371429697
258	0.7358514287
259	0.7350076633
260	0.7344443191
261	0.7329783337
262	0.7316504916
263	0.7305030375
264	0.729849292
265	0.7286616717
266	0.727912025
267	0.7272042581
268	0.7253497392
269	0.7248144392
270	0.723816876
271	0.7230836992
272	0.722177846
273	0.7213788873
274	0.7199185894
275	0.7188374419
276	0.717820134
277	0.7166739991
278	0.7158264805
279	0.715134899
280	0.7144163328
281	0.713544261
282	0.7132112195
283	0.7116111717
284	0.7107400619
285	0.7101072644
