feature,fold_1,fold_2,fold_3,fold_4,fold_5,mean_imp,std_imp,pos_ratio
ix_speed_alt_ratio,0.0024034905903580484,0.0042293741494627834,0.00423995977415792,0.0027166936238337547,0.0037702564419299645,0.0034719549159484943,0.0008608912231460777,1.0
rv_mean,0.0036757445980407644,0.00267569715944449,0.0023547779261482438,0.005232873339491961,0.0024362356296351306,0.003275065730552118,0.0012148418059201409,1.0
hour,0.002333223967155962,0.002607016312657029,0.0017988185935057244,0.0032285346410129145,0.00514811196295395,0.0030231410954571158,0.0012947778539033707,1.0
ix_horizontal_energy_per_distance,0.004082831679966814,0.001167087101988984,0.0028989517274083942,0.0038895857802041522,0.0016777091977964176,0.0027432330974729523,0.001299276193404966,1.0
rv_p10,0.002492848744288345,0.002018205647537852,0.004635787781999912,0.002810695687563647,0.0015261494576330747,0.002696737463804566,0.0011879767389432036,1.0
max_z,0.0016452251474349255,0.0020633492593497005,0.004153061395120172,0.0035376678248558724,0.002084026671841488,0.0026966660597204316,0.0010851631816431269,1.0
airspeed_path_speed_ratio,0.0025265440787939353,0.0028710122284414386,0.0016681671004988852,0.0023479781494744056,0.0035343486055404716,0.0025896100325498274,0.0006861374726717255,1.0
abs_rv_p90,0.0037095840801291136,0.0007830784496789533,0.0021284818518335635,0.004157097841299917,0.002014711882002529,0.0025585908209888155,0.0013705156313287066,1.0
alt_max,0.00107591693425102,0.0021261038561537493,0.003109169926706179,0.002441821203458927,0.003820751590353,0.002514752702184575,0.00103508214997863,1.0
energy_vertical_p90,0.002362677629152987,0.0026002181457521756,0.002191893016420088,0.003279314387569232,0.0020887287184737646,0.0025045663794736493,0.00047439481083189387,1.0
ix_alt_x_day_sin,0.002316150673595474,0.0033658917219409057,0.0017409138589548068,0.0028049654515580613,0.0010712039485989422,0.002259825130929638,0.0008952406189051224,1.0
hd_heading_mode_bin,0.0031758801522769886,0.0024924352474515743,0.0023476396327515303,0.0015610292268722903,0.0011093267646957727,0.002137262204809631,0.0008120698102861752,1.0
ix_speed_sq,0.007141232714523382,0.0009656228130133782,0.0013317346549153175,0.0005932583360955812,0.00037824934874275407,0.0020820195734580827,0.0028514974045644693,1.0
