iter	MultiClass
0	2.096452766
1	2.023709972
2	1.941578751
3	1.871950207
4	1.803654588
5	1.754009762
6	1.700812696
7	1.662001097
8	1.619166432
9	1.581002294
10	1.54408449
11	1.512088271
12	1.481438812
13	1.450920071
14	1.422981859
15	1.400100487
16	1.375992546
17	1.347940672
18	1.328876471
19	1.304861692
20	1.28627173
21	1.265206674
22	1.247475804
23	1.23159503
24	1.214738539
25	1.19759641
26	1.182506155
27	1.165425475
28	1.151224643
29	1.133866703
30	1.119428007
31	1.10376251
32	1.08918799
33	1.077138865
34	1.065022333
35	1.053943825
36	1.041716685
37	1.029794045
38	1.017777796
39	1.007301444
40	0.9975359942
41	0.9889133601
42	0.9785995167
43	0.9692125316
44	0.9612095928
45	0.9534875751
46	0.9418428906
47	0.9330243014
48	0.9243648508
49	0.9146730094
50	0.9077673053
51	0.8992531576
52	0.8929753561
53	0.8849220979
54	0.878132188
55	0.871260322
56	0.86240142
57	0.8566876679
58	0.8511019591
59	0.8450620631
60	0.8393232526
61	0.8323141338
62	0.8272232882
63	0.8215643375
64	0.8154446183
65	0.8106053031
66	0.8059702581
67	0.8002787432
68	0.7953332269
69	0.7910239245
70	0.7853131939
71	0.779810186
72	0.7750314132
73	0.7693706611
74	0.7646184903
75	0.7603775027
76	0.7558796855
77	0.7506868065
78	0.7461350891
79	0.7424884569
80	0.7377424873
81	0.733216171
82	0.7295283549
83	0.726207122
84	0.7213693339
85	0.7178796815
86	0.7147878787
87	0.7117018003
88	0.7081022463
89	0.7052762616
90	0.7020722428
91	0.6977270887
92	0.6932350766
93	0.6903494781
94	0.6877254305
95	0.6843110035
96	0.6797592403
97	0.6762494851
98	0.6743340459
99	0.6714565524
100	0.6682384834
101	0.6657991872
102	0.663681189
103	0.6603807015
104	0.656356072
105	0.6537515415
106	0.6511487773
107	0.647888663
108	0.6450334714
109	0.6424150926
110	0.6400083305
111	0.6374037912
112	0.6350105444
113	0.6321196817
114	0.6300023143
115	0.6270040764
116	0.6241090691
117	0.6212263445
118	0.6189896481
119	0.6162431833
120	0.6132737196
121	0.6110261505
122	0.6080760691
123	0.6052755097
124	0.6024211809
125	0.5993087215
126	0.5968971485
127	0.5949280706
128	0.5926281908
129	0.5902404264
130	0.5866016996
131	0.5834325988
132	0.5815050214
133	0.5788145864
134	0.576573002
135	0.5742866272
136	0.5718479194
137	0.5692458371
138	0.567366011
139	0.5654640725
140	0.5638731644
141	0.5609941633
142	0.5589223943
143	0.5572695264
144	0.5554169631
145	0.5537787854
146	0.5519388697
147	0.5500854631
148	0.5478509027
149	0.5450500843
150	0.5427754525
151	0.540972033
152	0.5393198537
153	0.5366240953
154	0.5348418273
155	0.5330858551
156	0.5312951177
157	0.5294767134
158	0.5277142944
159	0.5253853556
160	0.5231876
161	0.5212092121
162	0.5187654878
163	0.5163976249
164	0.5140387675
165	0.5121229905
166	0.510299787
167	0.5088146165
168	0.506981949
169	0.5047366133
170	0.503590635
171	0.5021059511
172	0.5007110729
173	0.4986451597
174	0.4960500229
175	0.4948635296
176	0.4932356761
177	0.4907065575
178	0.4889748679
179	0.4862622403
180	0.4848250189
181	0.4834805969
182	0.4818164667
183	0.4800882753
184	0.4778243379
185	0.4765850136
186	0.4751959848
187	0.4737348125
188	0.4719296456
189	0.4698351283
190	0.4684114134
191	0.4661568611
192	0.4642615988
193	0.4629832924
194	0.4613482003
195	0.4597903329
196	0.4573346558
197	0.4558525885
198	0.4539237181
199	0.452555519
200	0.4505518158
201	0.4490850674
202	0.4474184238
203	0.4448854625
204	0.4434532489
205	0.4419107578
206	0.4405473414
207	0.4392528127
208	0.4377158348
209	0.4366260425
210	0.4353707002
211	0.4338674142
212	0.4324659099
213	0.4312662268
214	0.4300455475
215	0.4284809928
216	0.4270345435
217	0.4264968464
218	0.425079068
219	0.4234440193
220	0.4221316148
221	0.4204015403
222	0.418798107
223	0.4177901149
224	0.4157835427
225	0.4144389223
226	0.4134862553
227	0.4127747401
228	0.4114461513
229	0.4101370493
230	0.4084793864
231	0.4072023187
232	0.4064097965
233	0.4051903962
234	0.4040068079
235	0.4031668669
236	0.4024667674
237	0.4003935716
238	0.3995879867
239	0.3985866054
240	0.3975274812
241	0.3962268076
242	0.3948955522
243	0.3943198921
244	0.3931352802
245	0.3909197835
246	0.3893449318
247	0.3884073469
248	0.3873488451
249	0.3861724845
250	0.3852823583
251	0.3844488611
252	0.3833047857
253	0.382265014
254	0.3807291726
255	0.3801632601
256	0.3796060036
257	0.3790923159
258	0.3780157391
259	0.3768020362
260	0.3755976842
261	0.3746639907
262	0.3737900336
263	0.3720047207
264	0.3709540822
265	0.3700710952
266	0.3696350634
267	0.368782393
268	0.3680599675
269	0.366723726
270	0.3658811017
271	0.3649136591
272	0.3636101562
273	0.3624392633
274	0.3609335846
275	0.3599494209
276	0.3588601362
277	0.3584342158
278	0.3577112708
279	0.3566648525
280	0.3559443497
281	0.3550615292
282	0.353948625
283	0.3529970973
284	0.3518613818
285	0.3509721253
286	0.3498292664
287	0.3494232496
288	0.3489219807
289	0.3482368352
290	0.3474752639
291	0.3468567734
292	0.3453817093
293	0.3446833518
294	0.3439333578
295	0.3429778828
296	0.3420566004
297	0.3410948655
298	0.3406669978
299	0.3397538518
300	0.3392029694
301	0.3387167351
302	0.3381247179
303	0.3372244619
304	0.3365501132
305	0.3359619283
306	0.335161912
307	0.3344434225
308	0.3339884369
309	0.3332913912
310	0.3326505907
311	0.3319997621
312	0.3311473467
313	0.3307923841
314	0.3297376369
315	0.3291201305
316	0.328748356
317	0.3284556916
318	0.3278785232
319	0.3271036639
320	0.3263053657
321	0.3256344171
322	0.3249302214
323	0.3243482495
324	0.3236559341
325	0.3230804242
326	0.3221991223
327	0.3215357308
328	0.3209746828
329	0.3204956156
330	0.3193022455
331	0.3191443117
332	0.3182508472
333	0.3172158763
334	0.3168447904
335	0.31627875
336	0.3159025796
337	0.3149912508
338	0.3143033462
339	0.3136102681
340	0.3128846968
341	0.3122839811
342	0.3113760519
343	0.3108020133
344	0.3101204368
345	0.3095069471
346	0.30909058
347	0.3083361938
348	0.3075980578
349	0.3066371231
350	0.3063134792
351	0.3054727271
352	0.3049376403
353	0.3044510752
354	0.303829783
355	0.303395667
356	0.3025812326
357	0.3018651824
358	0.3012414055
359	0.3006189182
360	0.3003046234
361	0.2998585777
362	0.2987196339
363	0.2978271717
364	0.2965378068
365	0.2960475633
366	0.2958533744
367	0.2952155911
368	0.2945602003
369	0.2940275785
370	0.2933492195
371	0.2928057568
372	0.2924531401
373	0.291891367
374	0.2911815053
375	0.2907636625
376	0.2899758862
377	0.2894672788
378	0.2889033159
379	0.2887731248
380	0.2882227834
381	0.2875789086
382	0.2874635273
383	0.2867233756
384	0.2864215723
385	0.2854931469
386	0.2850222803
387	0.2845854721
388	0.2840603724
389	0.283852579
390	0.2833349627
391	0.282999873
392	0.2827057092
393	0.2821426175
394	0.2814566053
395	0.2809630312
396	0.2804722512
397	0.2801720272
398	0.2798473046
399	0.2796031558
400	0.2792932821
401	0.2792660451
402	0.2789793872
403	0.2784053959
404	0.2776765595
405	0.2769667261
406	0.2764619993
407	0.2756831367
408	0.2752193734
409	0.2748825126
410	0.274473476
411	0.2741380106
412	0.273226573
413	0.2729294006
414	0.2726622444
415	0.27219207
416	0.2716901284
417	0.2709589007
418	0.2705471222
419	0.269858881
420	0.2693405335
421	0.2691412091
422	0.2688761207
423	0.2686502935
424	0.2676807803
425	0.267538935
426	0.2673117338
427	0.2668050553
428	0.2663153129
429	0.2657601234
430	0.2650261947
431	0.2645850083
432	0.2640648193
433	0.2634739417
434	0.2632969967
435	0.2624669372
436	0.2619861826
437	0.2612935716
438	0.2607455701
439	0.2602189215
440	0.2595081729
441	0.2591452193
442	0.2586230703
443	0.2582862848
444	0.2576788001
445	0.2570113013
446	0.256819798
447	0.2563986687
448	0.2559432404
449	0.2556182892
450	0.2552077741
451	0.2546511704
452	0.2542925276
453	0.2538913038
454	0.2537033273
455	0.2531722144
456	0.2525982637
457	0.2521428533
458	0.2517196336
459	0.2511167138
460	0.2506308666
461	0.2500918627
462	0.2496385708
463	0.2493161209
464	0.2487499309
465	0.2483128223
466	0.2478866076
467	0.2474530564
468	0.2468431976
469	0.2463202709
470	0.2456658086
471	0.2453258282
472	0.2447236314
473	0.2441487155
474	0.243532085
475	0.2428991344
476	0.2427077234
477	0.2421498734
478	0.2416854294
479	0.2412300985
480	0.2406721889
481	0.2402346237
482	0.2398125482
483	0.2396234013
484	0.2392610384
485	0.2386548621
486	0.2384146424
487	0.2380253225
488	0.2374079355
489	0.2369393541
490	0.2365591478
491	0.2363829081
